,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
0,0,0,0,0,15,128,306
0,0,0,0,0,15,128,307
0,0,0,0,0,15,128,308
0,0,0,0,0,15,128,309
0,0,0,0,0,15,32,310
1,0,0,0,0,15,64,310
2,0,0,0,0,15,128,310
0,0,0,0,0,15,16,311
1,0,0,0,0,15,32,311
2,0,0,0,0,15,64,311
3,0,0,0,0,15,128,311
0,0,0,0,0,15,16,312
1,0,0,0,0,15,64,312
2,0,0,0,0,15,128,312
0,0,0,0,0,15,16,313
1,0,0,0,0,15,64,313
2,0,0,0,0,15,128,313
0,0,0,0,0,15,16,314
1,0,0,0,0,15,32,314
2,0,0,0,0,15,64,314
3,0,0,0,0,15,128,314
0,0,0,0,0,15,16,315
1,0,0,0,0,15,128,315
0,0,0,0,0,15,16,316
1,0,0,0,0,15,32,316
2,0,0,0,0,15,128,316
0,0,0,0,0,15,32,317
1,0,0,0,0,15,128,317
0,0,0,0,0,15,0,318
1,0,0,0,0,15,16,318
2,0,0,0,0,15,64,318
0,0,0,0,0,15,16,319
1,0,0,0,0,15,64,319
2,0,0,0,0,15,128,319
3,0,0,0,0,15,144,319
0,0,0,0,0,15,16,320
1,0,0,0,0,15,128,320
2,0,0,0,0,15,192,320
0,0,0,0,0,15,16,321
1,0,0,0,0,15,64,321
2,0,0,0,0,15,128,321
0,0,0,0,0,15,16,322
1,0,0,0,0,15,32,322
2,0,0,0,0,15,64,322
3,0,0,0,0,15,128,322
4,0,0,0,0,15,240,322
0,0,0,0,0,15,128,323
0,0,0,0,0,15,128,324
0,0,0,0,0,15,16,325
0,0,0,0,0,15,128,326
0,0,0,0,0,15,128,327
0,0,0,0,0,15,0,328
1,0,0,0,0,15,16,328
0,0,200,50,200,112,128,329
1,340,200,50,200,112,128,329
2,400,200,50,200,112,128,329
3,480,200,50,200,112,128,329
4,580,200,50,200,112,128,329
5,700,200,50,200,112,128,329
6,850,200,50,200,112,128,329
7,970,200,50,200,112,128,329
8,1150,200,50,200,112,128,329
0,0,0,0,0,15,128,330
0,0,0,0,0,15,128,331
0,0,0,0,0,15,128,332
0,0,0,0,0,15,128,333
0,0,0,0,0,15,128,334
0,0,0,0,0,15,128,335
0,0,0,0,0,15,128,336
0,0,0,0,0,15,128,337
0,0,0,0,0,15,128,338
0,0,0,0,0,15,128,339
0,0,0,0,0,15,128,340
0,0,0,0,0,15,128,341
0,0,0,0,0,15,128,342
0,0,0,0,0,15,64,343
0,0,0,0,0,15,16,344
1,0,0,0,0,15,32,344
0,0,0,0,0,15,128,345
0,0,0,0,0,15,128,346
0,0,0,0,0,15,128,347
0,0,0,0,0,15,128,348
0,0,0,0,0,15,128,349
0,0,0,0,0,15,128,350
0,0,0,0,0,15,128,351
0,0,0,0,0,15,128,352
0,0,0,0,0,15,128,353
0,0,0,0,0,15,0,354
1,0,0,0,0,15,16,354
2,0,0,0,0,15,32,354
3,0,0,0,0,15,64,354
4,0,0,0,0,15,128,354
0,0,200,50,200,15,128,355
1,150,200,50,200,15,128,355
0,150,200,50,200,15,128,356
0,150,200,50,200,15,128,357
1,180,200,50,200,15,128,357
2,200,200,50,200,15,128,357
0,200,200,50,200,15,128,358
1,240,200,50,200,15,128,358
0,250,200,50,200,15,128,359
0,0,200,50,200,15,128,360
1,100,200,50,200,15,128,360
2,150,200,50,200,15,128,360
3,300,200,50,200,15,128,360
0,150,200,50,200,15,128,361
